psraid,state,density,pew1f,pew2,pew2os,pew3a,pew3b,pew3c,pew3d,pew4,pew5,pew6,pew7,par2,pew8,pew9,pew10,sex,age,recage,educ,receduc,hisp,race,racethn,inc,income,party,partyln,weight
100990,8,1,1,9, ,1,1,3,1,1,1,1,2,1,2,3,2,2,67,6,3,2,2,1,1,6,3,3,2,1.619047619
100995,35,1,2,1, ,1,2,1,2,2,2,2,1,2,1,2,1,2,59,5,6,4,2,4,4,6,3,1, ,1.761904762
100997,6,4,2,8,THE CONFLICT BETWEEN COLUMBIA AND VENEZUELA,2,2,3,2,1,9,1,3,2,2,3,1,2,73,6,7,4,1,1,3,6,3,3,9,1.666666667
101007,6,4,2,2, ,3,3,3,1,2,9,1,2,1,2,9,2,1,37,3,3,2,1,1,3,8,4,3,2,8.619047619
101031,6,4,1,1, ,2,2,3,1,1,1,1,2,1,1,2,1,1,37,3,7,4,2,3,4,9,4,2, ,3.428571429
101034,6,1,2,2, ,3,3,3,2,4,9,9,9,1,9,9,1,2,23,1,2,1,2,1,1,1,1,3,2,8.619047619
101035,12,2,4,2, ,3,3,3,2,3,9,2,9,1,1,2,9,1,46,4,5,3,2,1,1,7,4,3,9,1.80952381
101039,13,4,1,6, ,1,3,3,1,1,2,2,1,2,1,1,1,1,73,6,6,4,2,1,1,7,4,1, ,2.619047619
101044,42,3,3,9, ,3,3,3,3,4,2,2,1,2,1,2,1,1,50,4,3,2,2,1,1,5,2,2, ,3.952380952
101046,21,1,2,4, ,2,3,3,3,3,2,2,2,1,1,3,1,2,33,2,3,2,2,1,1,2,1,2, ,3.476190476
101047,34,4,3,3, ,2,3,2,2,2,2,1,1,1,1,1,1,1,43,3,6,4,2,1,1,9,4,1, ,2.80952381
101051,12,3,3,9, ,3,3,3,3,2,9,2,2,2,1,2,9,2,61,5,3,2,2,1,1,3,1,1, ,2.666666667
101052,42,2,1,2, ,2,3,3,1,3,9,2,1,2,2,3,2,2,54,4,2,1,2,1,1,3,1,1, ,7.095238095
101057,42,3,2,2, ,2,3,3,2,1,2,2,2,1,1,2,2,1,42,3,7,4,2,1,1,4,2,3,2,1.523809524
101062,42,1,3,9, ,2,2,3,2,4,2,2,9,2,2,2,9,2,55,5,3,2,2,1,1,1,1,4,9,5.047619048
101066,42,4,1,2, ,1,2,2,2,2,9,2,1,2,1,2,1,1,80,6,6,4,2,1,1,99,9,4,9,2.80952381
101077,36,5,4,9, ,2,2,3,3,2,1,1,9,2,2,3,2,2,59,5,7,4,2,1,1,9,4,2, ,1.80952381
101082,39,3,1,1, ,2,2,3,1,2,2,2,1,2,2,2,1,2,72,6,3,2,2,1,1,99,9,3,2,1
101085,12,1,1,1, ,3,3,3,2,4,2,2,1,2,1,2,1,2,57,5,3,2,2,1,1,1,1,3,1,1.333333333
101086,37,3,2,3, ,3,2,3,3,3,2,2,1,2,2,9,1,1,55,5,3,2,1,1,3,99,9,1, ,4.80952381
101087,39,5,2,4, ,2,2,3,2,2,2,2,1,1,2,2,1,1,47,4,3,2,2,1,1,9,4,3,1,4.523809524
101088,36,5,4,5, ,3,3,3,2,4,9,1,2,2,1,9,9,1,78,6,6,4,2,5,4,6,3,4,9,4.095238095
101089,36,2,2,2, ,1,2,2,2,2,9,1,2,2,2,3,2,2,70,6,5,3,2,1,1,4,2,2, ,2.952380952
101091,26,4,1,2, ,1,1,1,2,2,2,1,2,2,1,1,2,1,46,4,7,4,2,1,1,6,3,3,1,1.619047619
101099,18,1,1,6, ,2,1,2,2,2,2,2,3,2,1,3,2,1,18,1,2,1,2,1,1,7,4,3,2,5
101117,48,2,2,9, ,2,2,3,2,3,2,2,1,2,2,2,1,1,79,6,7,4,2,1,1,6,3,1, ,1.952380952
101122,55,2,1,5, ,1,2,2,1,2,2,2,2,2,2,2,9,2,89,6,3,2,2,1,1,99,9,1, ,1.333333333
101125,20,4,1,2, ,1,3,1,1,3,2,2,2,2,2,3,1,2,70,6,4,2,2,1,1,4,2,1, ,2.666666667
101129,1,2,1,4, ,1,1,1,1,1,2,2,1,2,2,3,1,2,50,4,5,3,2,5,4,7,4,3,1,2.285714286
101135,17,5,1,6, ,2,2,3,1,4,9,2,2,2,9,3,2,2,91,6,3,2,2,1,1,2,1,4,9,1.333333333
